yang
ga
ya
gw
aja
udh
bs
pas
ini
dah
bikin
tau
mau
sih
jg
doang
blm
td
dl
lg
1
2
3
tgl
bgt
utk
yg
kalo
oke
loe
udh
nya
ada
msh
jadi
aku
ke
di
dan
sama
ama
gak
kan
baru
haha
kl
trus
itu
udah
apa
udh
image
dr
td
pak
trus
mas
iya
gw
ok
tp
ooo
omitted
karo
mut
was
klo
lgs
deh
the
buat
dg
in
of
hari
kmrn
d
lagi
this
pake
krn
lah
nah
blg
nih
to
ntr
gitu
oh
dia
tadi
dari
ikut
dulu
kyk
oiya
at
no
adi
for
eh
mbak
minta
harus
tnyt
is
a
kalau
it
i
mana
juga
tapi
brp
atau
hihi
and
sini
by
yaa
but
bisa
nggak
abis
lha
malah
kok
jgn
saya
on
not
cm
u
tl
so
my
bu
emg
